,Player,Matches,Runs,Bat_ave,Wkts,Bowl_ave
0,RG Sharma (IND),89,2438,32.5,0,0.0
1,Shoaib Malik (ICC/PAK),84,1699,33.97,14,26.64
2,V Kohli (IND),83,2902,50.03,4,49.5
3,EJG Morgan (ENG),83,1862,27.8,0,0.0
4,KJ O'Brien (IRE),79,1543,23.02,50,17.4
5,Mohammad Hafeez (PAK),78,1957,30.56,42,20.34
6,Mahmudullah (BAN),76,1396,27.92,29,26.31
7,JC Buttler (ENG),74,1551,29.27,0,0.0
8,NLTC Perera (ICC/SL/World),74,1127,23.97,46,34.2
9,MS Dhoni (IND),73,1176,45.22,0,0.0
10,DA Miller (SA/World),73,1296,28.17,0,0.0
11,PR Stirling (IRE),72,2047,31.48,17,34.7
12,MJ Guptill (NZ),71,2182,34.1,0,0.0
13,Mushfiqur Rahim (BAN),71,1197,21.77,0,0.0
14,GH Dockrell (IRE),70,268,14.1,64,23.31
15,Mohammad Nabi (AFG),70,1278,23.23,58,28.67
16,GJ Maxwell (AUS),67,1687,33.06,29,26.66
17,AJ Finch (AUS),66,2149,37.7,0,0.0
18,GC Wilson (IRE),66,1075,22.39,0,0.0
19,Asghar Afghan (AFG),65,1214,21.67,1,4.0
20,C Munro (NZ),65,1724,31.34,4,46.5
21,LRPL Taylor (NZ),65,1250,29.06,0,0.0
22,S Dhawan (IND),64,1669,28.28,0,0.0
23,Tamim Iqbal (BAN/ICC/World),64,1565,26.52,0,0.0
24,Umar Akmal (PAK),63,1160,24.16,0,0.0
25,Shakib Al Hasan (BAN),62,1360,26.16,75,20.88
26,KS Williamson (NZ),62,1723,33.12,6,27.33
27,MN Samuels (WI),61,1480,30.2,20,24.7
28,AD Hales (ENG),60,1644,31.02,0,0.0
29,Najibullah Zadran (AFG),60,976,31.48,0,0.0
30,SK Raina (IND),60,1137,27.73,12,33.6
31,PM Seelaar (NED),60,462,17.77,40,24.38
32,DA Warner (AUS),58,1619,33.03,0,0.0
33,Mohammad Shahzad (AFG),57,1782,32.4,0,0.0
34,Sarfaraz Ahmed (PAK),57,807,28.81,0,0.0
35,Shahid Afridi (ICC/PAK),57,745,17.73,45,31.56
36,KA Pollard (WI),56,1036,30.47,26,23.38
37,Samiullah Shinwari (AFG),56,951,23.77,24,23.4
38,TG Southee (NZ),56,207,14.78,65,25.95
39,CJ Jordan (ENG),55,247,14.52,66,25.31
40,SL Malinga (SL),55,73,4.56,72,20.8
41,Ahmed Shehzad (PAK),54,1380,26.53,0,0.0
42,AD Mathews (SL),54,826,25.81,23,36.3
43,RD Berrington (SCOT),53,1203,30.84,22,23.0
44,S Badree (WI/World),52,43,7.16,56,21.06
45,JP Duminy (SA),52,1286,42.88,17,29.81
46,H Masakadza (ZIM),52,1251,25.02,1,74.0
47,BN Cooper (NED),51,1094,28.05,0,0.0
48,SP Narine (WI),51,155,10.33,52,21.25
49,JJ Bumrah (IND),50,8,0.0,0,0.0
50,F du Plessis (SA/World),50,1528,35.53,0,0.0
51,IS Sodhi (NZ),50,75,18.75,56,24.4
52,Soumya Sarkar (BAN),50,885,18.81,6,45.16
53,DJ Bravo (WI),49,807,24.45,40,27.72
54,LD Chandimal (SL),49,741,19.0,0,0.0
55,KJ Coetzer (SCOT),49,1152,25.05,0,0.0
56,Imad Wasim (PAK),49,302,13.72,47,22.77
57,D Ramdin (WI),49,417,19.84,0,0.0
58,AD Russell (WI),49,540,20.0,26,37.47
59,DJG Sammy (WI/World),49,447,17.88,20,37.84
60,TM Dilshan (SL),48,1131,27.58,5,32.4
61,Gulbadin Naib (AFG),48,495,17.67,17,36.53
62,Rashid Khan (AFG/ICC),48,163,14.81,89,12.62
63,MJ Santner (NZ),48,325,16.25,54,22.03
64,Q de Kock (SA),47,1303,31.02,0,0.0
65,CS MacLeod (SCOT),47,1042,26.7,4,29.5
66,MDKJ Perera (SL),47,1293,28.1,0,0.0
67,AU Rashid (ENG),47,46,6.57,48,24.9
68,JM Bairstow (ENG),46,932,28.23,0,0.0
69,AB de Villiers (SA),46,1082,27.73,0,0.0
70,KMDN Kulasekara (SL),46,163,11.64,55,21.03
71,Shadab Khan (PAK),46,183,14.07,53,22.62
72,LMP Simmons (WI),46,1002,27.08,0,0.0
73,YS Chahal (IND),45,5,2.5,59,24.67
74,KL Rahul (IND),45,1542,44.06,0,0.0
75,R Ashwin (IND),44,123,30.75,50,22.45
76,Babar Azam (PAK),44,1681,50.94,0,0.0
77,WTS Porterfield (IRE),44,816,21.47,0,0.0
78,WB Rankin (ENG/IRE),44,58,9.66,48,22.02
79,Sabbir Rahman (BAN),44,946,24.89,6,11.66
80,A Balbirnie (IRE),43,945,25.55,0,0.0
81,E Chigumbura (ZIM),43,719,20.55,4,53.75
82,MH Cross (SCOT),43,755,26.03,0,0.0
83,B Kumar (IND),43,23,0.0,0,0.0
84,Nizakat Khan (HKG),43,729,17.78,4,20.75
85,HH Pandya (IND),43,388,18.47,38,25.69
86,Rohan Mustafa (UAE),43,766,19.16,45,19.77
87,HM Amla (SA/World),42,1225,34.03,0,0.0
88,W Barresi (NED),42,799,22.81,2,24.5
89,SM Sharif (SCOT),42,123,13.66,49,24.19
90,Sohail Tanvir (PAK),42,167,12.84,43,25.31
91,Ahmed Raza (UAE),41,99,11.0,29,30.12
92,CR Brathwaite (WI),41,310,14.76,31,32.66
93,RA Jadeja (IND),41,152,15.2,34,27.05
94,Mashrafe Mortaza (BAN),41,236,12.42,32,34.12
95,Mustafizur Rahman (BAN),41,43,4.3,58,20.53
96,Shafiqullah (AFG),41,457,18.28,0,0.0
97,SR Thompson (IRE),41,328,14.9,18,37.22
98,PA van Meekeren (NED),41,39,4.87,47,20.1
99,SC Williams (ZIM),41,844,23.44,31,30.03
100,Fakhar Zaman (PAK),40,838,22.05,0,0.0
101,MD Shanaka (SL),40,483,15.58,11,19.81
102,Aizaz Khan (HKG),39,364,14.0,46,20.28
103,Muhammad Usman (UAE),39,765,24.67,0,0.0
104,MK Pandey (IND),39,709,44.3,0,0.0
105,T van der Gugten (NED),39,109,15.57,40,21.17
106,F Behardien (SA),38,518,32.38,3,9.0
107,CH Gayle (WI),38,1010,32.6,5,24.6
108,Imran Tahir (SA/World),38,19,19.0,63,15.04
109,NL McCullum (NZ),38,130,7.22,32,26.62
110,HG Munsey (SCOT),38,987,29.9,0,0.0
111,JJ Roy (ENG),38,890,23.42,0,0.0
112,SR Watson (AUS),38,1083,32.8,38,22.1
113,C de Grandhomme (NZ),36,487,18.03,11,40.44
114,MP O'Dowd (NED),36,866,26.23,3,39.66
115,Sikandar Raza (ZIM),36,442,13.0,12,38.66
116,Yuvraj Singh (IND),36,622,24.88,21,15.47
117,A Zampa (AUS),36,23,0.0,0,0.0
118,Bilal Khan (OMA),35,19,6.33,51,16.25
119,Saeed Ajmal (PAK),35,61,7.62,44,19.44
120,KD Shah (HKG),35,502,19.3,9,42.88
121,MA Starc (AUS),35,24,4.8,47,19.38
122,MRJ Watt (SCOT),35,53,10.6,45,20.06
123,MM Ali (ENG),34,392,17.05,17,37.06
124,J Charles (WI),34,724,21.94,0,0.0
125,Dawlat Zadran (AFG),34,68,7.55,40,24.5
126,JW Dernbach (ENG),34,24,4.8,39,26.16
127,BRM Taylor (ZIM),34,685,22.83,0,0.0
128,PW Borren (NED),33,531,19.66,11,33.28
129,P Khadka (NEP),33,799,27.55,8,45.0
130,SJ Myburgh (NED),33,741,24.7,0,0.0
131,MS Wade (AUS),33,427,22.47,0,0.0
132,Faheem Ashraf (PAK),32,170,11.33,29,23.06
133,Khawar Ali (OMA),32,601,20.72,35,16.84
134,E Lewis (WI),32,934,32.2,0,0.0
135,Mohammad Amir (PAK),32,20,5.0,36,22.38
136,JE Root (ENG),32,893,35.72,6,23.16
137,Shaiman Anwar (UAE),32,971,33.47,0,0.0
138,MN Waller (ZIM),32,613,26.66,0,0.0
139,CA Young (IRE),32,21,0.0,0,0.0
140,Ahsan Malik (NED),31,28,9.33,44,16.6
141,Al-Amin Hossain (BAN),31,7,3.5,43,16.97
142,Amir Hamza (AFG),31,40,10.0,29,24.69
143,CJ Anderson (NZ),31,485,24.25,14,35.34
144,ADS Fletcher (WI),31,686,26.38,0,0.0
145,MA Leask (SCOT),31,240,12.0,18,27.72
146,BB McCullum (NZ),31,1040,38.5,0,0.0
147,Mohammad Naveed (UAE),31,176,12.57,37,19.7
148,Nasir Hossain (BAN),31,370,18.5,7,37.4
149,SPD Smith (AUS),31,698,31.72,1,44.0
150,Wahab Riaz (PAK),31,106,9.63,32,28.31
151,Zeeshan Maqsood (OMA),31,547,24.86,18,24.83
152,GJ Bailey (AUS/World),30,473,24.89,0,0.0
153,B Bhandari (NEP),30,304,16.0,0,0.0
154,SW Billings (ENG/ICC),30,391,17.0,0,0.0
155,Mudassar Bukhari (NED),30,143,9.53,37,16.2
156,AT Carey (AUS),30,176,12.57,0,0.0
157,SS Cottrell (WI),30,17,4.25,37,21.81
158,PJ Cummins (AUS),30,48,6.85,37,20.62
159,Hasan Ali (PAK),30,61,12.2,35,25.05
160,WD Parnell (SA),30,114,28.5,28,27.7
161,L Ronchi (ICC/NZ),30,312,17.33,0,0.0
162,TL Seifert (NZ),30,668,27.83,0,0.0
163,RE van der Merwe (NED),30,397,28.34,40,15.82
164,Waqas Barkat (HKG),30,307,13.95,6,43.34
165,TA Boult (NZ),29,22,0.0,0,0.0
166,SA Edwards (NED),29,334,23.84,0,0.0
167,Litton Das (BAN),29,636,22.7,0,0.0
168,MJ McClenaghan (ICC/NZ),29,24,6.0,30,26.3
169,R Powell (WI),29,337,18.72,4,28.5
170,BA Stokes (ENG),29,358,18.84,16,38.2
171,Aamir Kaleem (OMA),28,357,18.78,25,18.48
172,NM Coulter-Nile (AUS),28,150,13.63,34,23.58
173,Jatinder Singh (OMA),28,697,27.88,0,0.0
174,Karan KC (NEP),28,182,14.0,37,19.05
175,Karim Sadiq (AFG),28,432,15.42,8,44.25
176,RR Pant (IND),28,410,20.5,0,0.0
177,Shapoor Zadran (AFG),28,26,4.33,33,22.84
178,Sompal Kami (NEP),28,198,15.23,26,24.77
179,AJ Tye (AUS),28,61,10.16,39,22.89
180,DJ Willey (ENG),28,166,13.83,34,22.38
181,AC Agar (AUS),27,147,16.33,30,20.86
182,RS Bopara (ENG),27,520,34.66,16,24.19
183,SCJ Broad (ENG),27,82,8.2,30,24.53
184,TK Curran (ENG),27,54,13.5,26,31.23
185,AC Evans (SCOT),27,1,0.2,36,19.12
186,SO Hetmyer (WI),27,379,18.95,0,0.0
187,G Malla (NEP),27,566,22.64,0,0.0
188,M Morkel (SA/World),27,20,10.0,22,36.2
189,AL Phehlukwayo (SA),27,92,9.2,35,19.94
190,KC Sangakkara (SL),27,605,31.84,0,0.0
191,TP Visee (NED),27,478,17.7,0,0.0
192,BKG Mendis (SL),26,484,18.61,0,0.0
193,Mohammad Rizwan (PAK),26,313,22.34,0,0.0
194,CO Obuya (KENYA),26,585,26.6,23,14.52
195,K Rabada (SA),26,37,9.25,31,26.4
196,L Siaka (PNG),26,296,14.8,9,6.22
197,MC Sorensen (IRE),26,92,18.4,26,18.11
198,DW Steyn (SA),26,13,3.25,35,18.4
