,Player,Matches,Inns,Not_outs,Runs,Ave,B_Faced,SR,Fours,Sixes
0,V Kohli (IND),83,78,20,2902,50.03,2094,138.6,262,80
1,RG Sharma (IND),89,84,9,2438,32.5,1731,140.9,217,113
2,MJ Guptill (NZ),71,69,5,2182,34.1,1569,139.0,196,106
3,AJ Finch (AUS),66,66,9,2149,37.7,1395,154.0,216,97
4,PR Stirling (IRE),72,71,6,2047,31.48,1430,143.1,244,70
5,Mohammad Hafeez (PAK),78,75,11,1957,30.56,1597,122.56,183,64
6,EJG Morgan (ENG),83,80,13,1862,27.8,1342,138.8,131,100
7,Mohammad Shahzad (AFG),57,57,2,1782,32.4,1286,138.5,207,70
8,C Munro (NZ),65,62,7,1724,31.34,1102,156.5,132,107
9,KS Williamson (NZ),62,60,8,1723,33.12,1376,125.2,178,37
10,Shoaib Malik (ICC/PAK),84,75,25,1699,33.97,1321,128.6,139,48
11,GJ Maxwell (AUS),67,60,9,1687,33.06,1068,158.0,137,87
12,Babar Azam (PAK),44,42,9,1681,50.94,1293,130.0,173,23
13,S Dhawan (IND),64,62,3,1669,28.28,1301,128.2,182,49
14,AD Hales (ENG),60,60,7,1644,31.02,1203,136.6,175,55
15,DA Warner (AUS),58,58,9,1619,33.03,1187,136.4,156,58
16,Tamim Iqbal (BAN/ICC/World),64,64,5,1565,26.52,1297,120.7,159,45
17,JC Buttler (ENG),74,66,13,1551,29.27,1105,140.4,135,64
18,KJ O'Brien (IRE),79,74,7,1543,23.02,1107,139.4,128,72
19,KL Rahul (IND),45,41,6,1542,44.06,1064,144.9,136,63
20,F du Plessis (SA/World),50,50,7,1528,35.53,1137,134.4,140,50
21,MN Samuels (WI),61,59,10,1480,30.2,1312,112.8,135,59
22,Mahmudullah (BAN),76,68,18,1396,27.92,1077,129.6,113,47
23,Ahmed Shehzad (PAK),54,54,2,1380,26.53,1208,114.25,142,32
24,Shakib Al Hasan (BAN),62,62,10,1360,26.16,1081,125.8,146,29
25,Q de Kock (SA),47,47,5,1303,31.02,954,136.6,135,53
26,DA Miller (SA/World),73,63,17,1296,28.17,934,138.8,86,57
27,MDKJ Perera (SL),47,46,0,1293,28.1,956,135.2,123,47
28,JP Duminy (SA),52,47,17,1286,42.88,1021,125.94,84,50
29,Mohammad Nabi (AFG),70,65,10,1278,23.23,873,146.4,79,77
30,H Masakadza (ZIM),52,52,2,1251,25.02,1064,117.56,113,53
31,LRPL Taylor (NZ),65,60,17,1250,29.06,996,125.5,82,40
32,HM Amla (SA/World),42,42,6,1225,34.03,917,133.6,142,25
33,Asghar Afghan (AFG),65,60,4,1214,21.67,1116,108.75,75,59
34,RD Berrington (SCOT),53,48,9,1203,30.84,915,131.5,114,36
35,Mushfiqur Rahim (BAN),71,64,9,1197,21.77,970,123.4,105,32
36,MS Dhoni (IND),73,61,35,1176,45.22,889,132.2,90,39
37,Umar Akmal (PAK),63,59,11,1160,24.16,944,122.9,85,37
38,KJ Coetzer (SCOT),49,47,1,1152,25.05,911,126.44,126,35
39,SK Raina (IND),60,49,8,1137,27.73,852,133.5,103,40
40,TM Dilshan (SL),48,48,7,1131,27.58,939,120.44,131,21
41,NLTC Perera (ICC/SL/World),74,66,19,1127,23.97,734,153.5,84,59
42,BN Cooper (NED),51,48,9,1094,28.05,890,122.94,96,36
