,Player,Matches,Inns,Cts,Sts,D_Ave_per_Inns
0,MS Dhoni (IND),73,73,46.0,31.0,1.054
1,DA Miller (SA/World),73,73,58.0,1.0,0.808
2,Q de Kock (SA),47,47,41.0,11.0,1.106
3,Mushfiqur Rahim (BAN),71,69,26.0,22.0,0.695
4,Mohammad Shahzad (AFG),57,57,22.0,25.0,0.824
5,Sarfaraz Ahmed (PAK),57,57,35.0,10.0,0.789
7,D Ramdin (WI),49,49,24.0,18.0,0.857
11,GC Wilson (IRE),66,65,32.0,7.0,0.6
12,LD Chandimal (SL),49,49,32.0,5.0,0.755
14,JC Buttler (ENG),74,73,31.0,5.0,0.493
15,AB de Villiers (SA),46,46,33.0,3.0,0.782
17,Umar Akmal (PAK),63,63,34.0,1.0,0.555
20,MH Cross (SCOT),43,41,22.0,11.0,0.804
29,L Ronchi (ICC/NZ),30,30,24.0,6.0,1.0
34,SA Edwards (NED),29,28,24.0,4.0,1.0
36,W Barresi (NED),42,40,26.0,1.0,0.675
45,AT Carey (AUS),30,29,14.0,9.0,0.793
47,TL Seifert (NZ),30,30,18.0,5.0,0.766
52,KC Sangakkara (SL),27,27,11.0,11.0,0.814
57,Mohammed Rizlan (QAT),22,22,13.0,7.0,0.909
68,R Mutumbami (ZIM),24,24,15.0,4.0,0.791
76,MDKJ Perera (SL),47,46,13.0,5.0,0.391
78,KL Rahul (IND),45,44,17.0,1.0,0.409
84,SW Billings (ENG/ICC),30,29,16.0,1.0,0.586
92,Sultan Ahmed (OMA),17,16,14.0,3.0,1.062
93,MS Wade (AUS),33,33,15.0,2.0,0.515
97,B Bhandari (NEP),30,30,10.0,6.0,0.533
98,K Doriga (PNG),17,17,15.0,1.0,0.941
99,Hamza Tariq (CAN),15,15,12.0,4.0,1.066
106,BRM Taylor (ZIM),34,34,15.0,1.0,0.47
109,Ghulam Shabber (UAE),17,17,14.0,1.0,0.882
110,ZE Green (NAM),16,16,10.0,5.0,0.937
111,Kamran Akmal (PAK),20,20,11.0,4.0,0.75
112,C Kieswetter (ENG),16,16,13.0,2.0,0.937
113,BB McCullum (NZ),31,31,11.0,4.0,0.483
118,SW Poynter (IRE),25,23,13.0,2.0,0.652
121,Shafiqullah (AFG),41,41,13.0,2.0,0.365
